x,y,z,yaw
48571.61386891395,12782.825104412777,62.79046812548029,0
48577.34768708043,12791.227832195573,62.75274707489335,0
48583.86837073253,12800.021114053983,62.70385911404534,0
48589.75594709988,12807.444792768134,62.69039668221117,0
48595.947781504256,12814.795532726199,62.674548092945564,0
48602.805589648175,12822.493741976366,62.66398266500931,0
48609.382744301765,12829.64277618813,62.645806349904,0
48616.063606788324,12836.768345615617,62.602272909797684,0
48622.87545526796,12843.80533852782,62.567420840910586,0
48629.80964569231,12850.855920711503,62.51838908882052,0
48636.82109717518,12857.893610811097,62.49351548501022,0
48643.88388489032,12865.020079447679,62.42994997456669,0
48651.000619562175,12872.221458122069,62.38306803629249,0
48657.54484153467,12878.836364658677,62.371602099925454,0
48664.7242879865,12886.078883124359,62.34191615438047,0
48671.89268839727,12893.334371239085,62.317633521309595,0
48678.99043742541,12900.563588334837,62.29947585232192,0
48686.08992127387,12907.864816899733,62.28330950808343,0
48693.74666003421,12915.745648027092,62.303268968277635,0
48700.86025789763,12923.083284724378,62.33649021050123,0
48707.93395199157,12930.470443826824,62.35957803984554,0
48714.967787191395,12937.892436487775,62.367466247881545,0
48721.402580354676,12944.874873210641,62.348280795713684,0
48728.28711530833,12952.493764725195,62.30649786674847,0
48735.087106140425,12960.241324402296,62.24206524895057,0
48741.81410701201,12968.113276963219,62.19181328302591,0
48748.25614332688,12975.98391822955,62.194465336359265,0
48754.47316534899,12984.02341736697,62.15189072761758,0
48760.07234121307,12991.621724910778,62.180273315363735,0
48765.86668156372,12999.887978148936,62.16418243885041,0
48771.504186398786,13008.416409635152,62.160975552547924,0
48776.948019040094,13016.903067235708,62.20037970489689,0
48782.1531072955,13025.325571547533,62.220363956753964,0
48787.28556679211,13033.885433024114,62.20580055243747,0
48792.23862683253,13042.302111575316,62.24189581090628,0
48797.02840328828,13050.64799324363,62.225083120096386,0
48801.65885726483,13059.02076107339,62.146280755398706,0
48806.00660706155,13067.34462679477,62.07794462168077,0
48810.12076834985,13075.640407942426,61.989181662134854,0
48813.89113857478,13083.961530493267,61.91846023494206,0
48817.32638501673,13092.46875287014,61.78195607946481,0
48820.32997884116,13101.007488555497,61.577623466274595,0
48822.97845870784,13109.823449834248,61.37838149730115,0
48825.12885533006,13118.46187725216,61.162386221338295,0
48826.73296168308,13127.023735626162,60.94971911670083,0
48827.93033868528,13136.253591371958,60.731032822291034,0
